,Price,Brand,Screen Size,CPU type,Memory,Storage,GPU,Resolution,Backlit Keyboard,Touchscreen,Graphic Type,Operating System,Webcam,Card Reader,Thunderbolt,title,link,ppi,CPU_series,GPU_brand
284,999.0,msi,15.6,Intel Core i7 11th Gen,16,1024,Intel Iris Xe,1920x1080,1,0,Integrated,Windows 11 Pro,Yes,1,0,"msi modern 15 15.6"" ultra thin and light professional laptop intelâ® coreâ„¢ i7-1195g7 intelâ® irisâ® xe 16gb ddr4 1tb nvme ssd win 11 pro,15 b11m-022us",https://www.newegg.com/classic-black-msi-modern-15-b11m-022us-work-business/p/N82E16834156461?Item=N82E16834156461,141.21199808219862,Intel Core i7,Intel
285,1899.0,msi,17.3,AMD Ryzen 9 7000 Series,16,1024,NVIDIA GeForce RTX 4070 Laptop GPU,2560x1440,1,0,Dedicated,Windows 11 Home,Yes,0,0,msi alpha 17c7vg-007us 17.3 gaming laptop,https://www.newegg.com/p/N82E16834156529?Item=N82E16834156529,169.78089942830815,AMD Ryzen 9,NVIDIA
286,923.99,lenovo,16.0,AMD Ryzen 7 7000 Series,16,512,AMD Radeon Graphics,1920x1200,1,0,Integrated,Windows 11 Pro,Yes,0,0,"lenovo thinkpad e16 gen 1 21jt001qus 16"" notebook - wuxga - 1920 x 1200 - amd ryzen 7 7730u octa-core (8 core) 2 ghz - 16 gb total ram - 8 gb on-board memory - 512 gb ssd - graphite black(1)",https://www.newegg.com/graphite-black-lenovo-thinkpad-e16-gen-1/p/N82E16834840339?Item=N82E16834840339,141.50971698084905,AMD Ryzen 7,AMD
287,625.99,hp,15.6,Intel Core i7 8th Gen,32,512,Intel UHD Graphics 620,1920x1080,0,0,Integrated,Windows 11 Pro,Yes,0,0,"hp 850 g5 15.6"" grade a laptop intel core i7 8th gen 8550u (1.80ghz) 32gb memory",https://www.newegg.com/hp-elitebook-850-g5-work-business/p/N82E16834841090?Item=N82E16834841090,141.21199808219862,Intel Core i7,Intel
288,159.99,asus,11.6,Intel Celeron,4,64,Intel UHD Graphics 600,1366x768,0,0,Integrated,Chrome OS,No,0,0,"asus chromebook cx1101cma-db44 11.6"" chromebook - hd - 1366 x 768 - intel celeron n4020 dual-core (2 core) 1.10 ghz - 4 gb total ram - 64 gb flash memory - transparent silver - intel chip - intel",https://www.newegg.com/p/1TS-001A-061H0?Item=1TS-001A-061H0,135.0942111925629,Intel Other CPU,Intel
289,499.0,msi,13.4,Intel Core i5 11th Gen,16,512,Intel Iris Xe,1920x1200,1,1,Integrated,Windows 10 Home,Yes,1,1,"msi summit e13flipevo intel core i5 11th gen 1155g7 (2.50ghz) 16gb memory 512 gb nvme ssd intel iris xe graphics 13.4"" touchscreen 1920 x 1200 2-in-1 laptop windows 10 home 64-bit a11mt-235",https://www.newegg.com/p/N82E16834156036R?Item=N82E16834156036R,168.96682624578992,Intel Core i5,Intel
290,569.99,dell,15.6,Intel Core i7 7th Gen,16,500,Intel HD Graphics 630,1920x1080,0,0,Integrated,Windows 10 Pro,Yes,0,0,"dell 3520 15.6"" grade b laptop intel core i7 7th gen 7700hq (2.80ghz) 16gb memory",https://www.newegg.com/dell-precision-3520/p/N82E16834843817?Item=N82E16834843817,141.21199808219862,Intel Core i7,Intel
291,880.0,msi,15.6,Intel Core i7 12th Gen,16,1024,NVIDIA GeForce RTX 3060 Laptop GPU,1920x1080,1,0,Dedicated,Windows 11 Home,Yes,0,0,"msi gf series katana gf66 12ue-457 15.6"" gaming laptop",https://www.newegg.com/black-msi-gf-series-katana-gf66-12ue-457-gaming/p/N82E16834156514R?Item=N82E16834156514R,141.21199808219862,Intel Core i7,NVIDIA
292,386.99,dell,14.0,Intel Core i5 8th Gen,16,500,Intel UHD Graphics 620,1920x1080,0,0,Integrated,Windows 10 Pro,Yes,0,0,"dell 5490 14.0"" grade a laptop intel core i5 8th gen 8350u (1.70ghz) 16gb memory",https://www.newegg.com/dell-latitude-5490-work-business/p/N82E16834343503?Item=N82E16834343503,157.3505121487356,Intel Core i5,Intel
293,449.99,hp,15.6,Intel Core i5 11th Gen,12,512,Intel Iris Xe,1366x768,0,1,Integrated,Windows 11 Home,Yes,1,0,"hp 15-dy4003cy 15.6"" laptop intel core i5 11th gen 1155g7 (2.50ghz) 12gb memory",https://www.newegg.com/underwater-teal-hp-15-dy4003cy-home-personal/p/N82E16834273891?Item=N82E16834273891,100.45466986113651,Intel Core i5,Intel
294,531.99,dell,15.6,Intel Core i5 8th Gen,16,512,Intel UHD Graphics,1920x1080,0,0,Integrated,Windows 11 Pro,Yes,0,0,"dell 5500 15.6"" grade a laptop intel core i5 8th gen 8365u (1.60ghz) 16gb memory",https://www.newegg.com/dell-latitude-5500-work-business/p/N82E16834833207?Item=N82E16834833207,141.21199808219862,Intel Core i5,Intel
295,1684.0,msi,15.6,Intel Core i9 12th Gen,16,1024,NVIDIA GeForce RTX 3070 Ti Laptop GPU,1920x1080,1,0,Dedicated,Windows 11 Home,Yes,0,0,"msi katana gf66 12ugsok-1046 15.6"" gaming laptop",https://www.newegg.com/p/N82E16834156391R?Item=N82E16834156391R,141.21199808219862,Intel Core i9,NVIDIA
